Date,Mysore,Kodagu,Mandya,Hassan
05-Nov-11,1.57,3.83,3.67,14.77
06-Nov-11,8.08,2.64,13.05,4.89
07-Nov-11,8.94,10.4,10.73,11.76
08-Nov-11,0.07,0.19,0,0
09-Nov-11,0,0,0,0
10-Nov-11,0,0,0,0
11-Nov-11,0,0,0,0
12-Nov-11,0,0,0,0
13-Nov-11,0,0,0,0
14-Nov-11,0,0,0,0
15-Nov-11,0,0,0,0
16-Nov-11,0,0,0,0
17-Nov-11,0,0,0,0
18-Nov-11,0,0,0,0
19-Nov-11,0,0,0,0
20-Nov-11,0,0,0,0
21-Nov-11,0,0,0,0
22-Nov-11,0,0,0,0
23-Nov-11,0,0,0,0
24-Nov-11,0,0,0,0
25-Nov-11,0,0,0,0
26-Nov-11,2.08,1.48,2.84,0.62
27-Nov-11,6.23,4.41,4.47,1.72
28-Nov-11,3.64,1.11,1.85,0.91
29-Nov-11,23.77,5.92,32.75,16.36
30-Nov-11,0.05,0.81,0,0.05
01-Dec-11,0,0.09,0,0
02-Dec-11,0,0,0,0
03-Dec-11,0,0,0,0
04-Dec-11,0,0,0,0
05-Dec-11,0.01,0.13,0,0
06-Dec-11,0,0,0,0
07-Dec-11,0,0,0,0
08-Dec-11,0,0,0,0
09-Dec-11,0,0,0,0
10-Dec-11,0,0,0.27,0
11-Dec-11,0,0,0,0
12-Dec-11,0,0,0,0
13-Dec-11,0,0,0,0
14-Dec-11,0,0,0,0
15-Dec-11,0,0,0,0
16-Dec-11,0,0,0,0
17-Dec-11,0,0,0,0
18-Dec-11,0,0,0,0
19-Dec-11,0,0,0,0
20-Dec-11,0,0,0,0
21-Dec-11,0,0,0,0
22-Dec-11,0,0,0,0
23-Dec-11,0,0,0,0
24-Dec-11,0,0,0,0
25-Dec-11,0,0,0,0
26-Dec-11,0,0,0,0
27-Dec-11,0,0,0,0
28-Dec-11,0,0,0,0
29-Dec-11,0,0,0,0
30-Dec-11,0,0,0,0
31-Dec-11,1.83,0.23,2.26,0.01
01-Jan-12,0,0,0,0
02-Jan-12,0,0,0,0
03-Jan-12,0,0,0,0
04-Jan-12,0,0,0,0
05-Jan-12,0,0,0,0
06-Jan-12,0,0,0,0
07-Jan-12,0,0,0,0
08-Jan-12,0,0,0,0
09-Jan-12,0,0,0,0
10-Jan-12,0,0,0,0
11-Jan-12,0,0,0,0
12-Jan-12,0,0,0.06,0
13-Jan-12,0,0,0,0
14-Jan-12,0,0,0,0
15-Jan-12,0,0,0,0
16-Jan-12,0,0,0,0
17-Jan-12,0,0,0,0
18-Jan-12,0,0,0,0
19-Jan-12,0,0,0,0
20-Jan-12,0,0,0,0
21-Jan-12,0,0,0,0
22-Jan-12,0,0,0,0
23-Jan-12,0,0,0,0
24-Jan-12,0,0,0,0
25-Jan-12,0,0,0,0
26-Jan-12,0,0,0,0
27-Jan-12,0,0,0,0
28-Jan-12,0,0,0,0
29-Jan-12,0,0,0,0
30-Jan-12,0,0,0,0
31-Jan-12,0,0,0,0
01-Feb-12,0,0,0,0
02-Feb-12,0,0,0,0
03-Feb-12,0,0,0,0
04-Feb-12,0,0,0,0
05-Feb-12,0,0,0,0
06-Feb-12,0,0,0,0
07-Feb-12,0,0,0,0
08-Feb-12,0,0,0,0
09-Feb-12,0,0,0,0
10-Feb-12,0,0,0,0
11-Feb-12,1.86,0.54,0.03,0
12-Feb-12,0,0,0,0
13-Feb-12,0,0,0,0
14-Feb-12,0,0,0,0
15-Feb-12,0,0,0,0
16-Feb-12,0,0,0,0
17-Feb-12,0,0,0,0
18-Feb-12,0,0,0,0
19-Feb-12,0,0,0,0
20-Feb-12,0,0,0,0
21-Feb-12,0,0,0,0
22-Feb-12,0,0,0,0
23-Feb-12,0,0,0,0
24-Feb-12,0,0,0,0
25-Feb-12,0,0,0,0
26-Feb-12,0,0,0,0
27-Feb-12,0,0,0,0
28-Feb-12,0,0,0,0
29-Feb-12,0,0,0,0
01-Mar-12,0,0,0,0
02-Mar-12,0,0,0,0
03-Mar-12,0,0,0,0
04-Mar-12,0,0,0,0
05-Mar-12,0,0,0,0
06-Mar-12,0,0,0,0
07-Mar-12,0,0,0,0
08-Mar-12,0,0,0,0
09-Mar-12,0,0,0,0
10-Mar-12,0,0,0,0
11-Mar-12,0,0,0,0
12-Mar-12,0,0,0,0
13-Mar-12,0,0,0,0
14-Mar-12,0.98,2.23,0.29,1.06
15-Mar-12,0,0,0,0
16-Mar-12,0,0,0,0
17-Mar-12,0.6,0.17,0.01,0
18-Mar-12,0,0,0,0
19-Mar-12,0,0,0,0
20-Mar-12,0,0,0,0
21-Mar-12,0,0,0,0
22-Mar-12,0,0,0,0
23-Mar-12,0,0,0,0
24-Mar-12,0,0,0,0
25-Mar-12,0,0,0,0
26-Mar-12,0,0,0,0
27-Mar-12,0,0,0,0
28-Mar-12,0,0,0,0
29-Mar-12,0.5,0.13,0.01,0
30-Mar-12,0,0,0,0
31-Mar-12,0,0,2.34,1.78
01-Apr-12,0,0,0,0
02-Apr-12,8.86,2.51,0.13,0.02
03-Apr-12,0,0,0,0
04-Apr-12,0.37,0.1,0.01,0
05-Apr-12,0.13,0,0,0
06-Apr-12,0,0,0,0
07-Apr-12,0,0,0,0
08-Apr-12,0,0,0,0
09-Apr-12,0,0,0,0
10-Apr-12,0,0,0,0
11-Apr-12,0.02,0,0,0
12-Apr-12,0,0,0,0
13-Apr-12,0,0,0,0.01
14-Apr-12,0,0,0,0
15-Apr-12,0,0,0,0
16-Apr-12,0.37,0.1,0.01,0
17-Apr-12,1.83,4.14,0.53,1.95
18-Apr-12,0,0,0,0
19-Apr-12,10.56,3.07,4.4,10.18
20-Apr-12,0,0,0,0
21-Apr-12,6.48,6.38,0.72,2.45
22-Apr-12,0.91,0.25,0.01,0
23-Apr-12,0,0,0.86,0.65
24-Apr-12,3.96,1.83,4.59,1.97
25-Apr-12,18.68,6.83,1.11,0.89
26-Apr-12,6.64,4.71,9.55,11.54
27-Apr-12,5.18,3.9,5.21,5.5
28-Apr-12,4.81,0.82,29.19,24.31
29-Apr-12,0.06,0.18,0.27,0.08
30-Apr-12,0.28,0.06,0.11,0
01-May-12,2.95,0.27,7.78,0.12
02-May-12,2.57,0.07,6.07,0
03-May-12,5.63,0.78,8,0.01
04-May-12,18.97,5.57,0.28,0.04
05-May-12,0,0,0,0
06-May-12,0.05,0,0,0
07-May-12,0,0,0,0
08-May-12,0,0,0,0
09-May-12,0,0,2.65,11.84
10-May-12,0,0,0,0
11-May-12,6.83,0,19.66,1.06
12-May-12,29.94,57.36,7.19,26.49
13-May-12,0.66,1.41,0.18,0.65
14-May-12,0,0,0,0
15-May-12,0,0,2.09,1.6
16-May-12,2.03,0,20.7,7.66
17-May-12,1.36,1.6,0.19,0.65
18-May-12,0,0,0,0
19-May-12,0.01,0,0,0
20-May-12,0,0,0,0
21-May-12,0,0,0,0
22-May-12,3.84,0.79,2.32,0.01
23-May-12,0,0,0,0
24-May-12,0,0,0,0
25-May-12,0.28,0.06,0,0
26-May-12,0,0,0,0
27-May-12,0,0,0,0
28-May-12,0,0,0,0
29-May-12,0,0,0,0
30-May-12,0.54,1.21,0.15,0.57
31-May-12,0.08,0,0,0
01-Jun-12,0,0,0,0
02-Jun-12,3.45,6.88,0.87,3.19
03-Jun-12,0.54,1.21,0.15,0.57
04-Jun-12,9.19,11.53,1.31,4.64
05-Jun-12,35.62,41.45,4.52,15.86
06-Jun-12,37.53,60.66,7.32,26.59
07-Jun-12,45.97,53.57,5.97,20.94
08-Jun-12,15.13,14.4,3.93,5.82
09-Jun-12,3.94,8.08,1.03,3.8
10-Jun-12,10.01,7.1,0.73,2.3
11-Jun-12,5.59,4.32,0.39,1.25
12-Jun-12,17.81,21.66,2.4,8.49
